iter	Passed	Remaining
401	17828	425662
402	17868	425511
403	17909	425390
404	17949	425253
405	17990	425123
406	18030	424986
407	18074	424926
408	18116	424819
409	18157	424709
410	18199	424615
411	18239	424473
412	18283	424406
413	18323	424267
414	18363	424127
415	18408	424101
416	18447	423945
417	18488	423828
418	18530	423730
419	18572	423632
420	18614	423527
421	18656	423431
422	18696	423308
423	18738	423210
424	18778	423071
425	18820	422973
426	18860	422847
427	18902	422742
428	18944	422642
429	18986	422552
430	19027	422446
431	19069	422358
432	19113	422301
433	19157	422251
434	19201	422205
435	19244	422133
436	19285	422033
437	19329	421976
438	19371	421895
439	19413	421810
440	19456	421743
441	19499	421660
442	19542	421596
443	19585	421528
444	19626	421418
445	19670	421372
446	19712	421286
447	19754	421184
448	19796	421098
449	19837	420996
450	19880	420928
451	19922	420832
452	19962	420709
453	20005	420653
454	20047	420558
455	20088	420457
456	20130	420364
457	20170	420227
458	20211	420127
459	20252	420022
460	20291	419877
461	20333	419795
462	20375	419700
463	20416	419601
464	20459	419539
465	20502	419471
466	20544	419375
467	20586	419285
468	20627	419190
469	20668	419087
470	20709	418992
471	20750	418886
472	20792	418794
473	20835	418727
474	20877	418640
475	20918	418544
476	20961	418477
477	21002	418385
478	21046	418340
479	21087	418243
480	21128	418142
481	21168	418016
482	21210	417925
483	21253	417860
484	21294	417766
485	21333	417633
486	21376	417557
487	21417	417458
488	21458	417357
489	21499	417264
490	21540	417169
491	21580	417051
492	21620	416934
493	21661	416835
494	21704	416765
495	21746	416689
496	21788	416615
497	21829	416516
498	21870	416416
499	21912	416338
500	21955	416273
501	21998	416216
502	22039	416126
503	22081	416043
504	22123	415956
505	22164	415873
506	22205	415775
507	22248	415723
508	22293	415689
509	22333	415586
510	22378	415550
511	22420	415488
512	22462	415399
513	22505	415345
514	22548	415277
515	22589	415191
516	22632	415124
517	22673	415043
518	22716	414973
519	22758	414903
520	22800	414826
521	22843	414767
522	22883	414652
523	22925	414581
524	22969	414547
525	23011	414466
526	23054	414404
527	23095	414327
528	23137	414251
529	23182	414222
530	23223	414137
531	23265	414064
532	23309	414022
533	23353	413975
534	23398	413951
535	23440	413887
536	23483	413833
537	23527	413786
538	23569	413713
539	23611	413645
540	23653	413560
541	23696	413502
542	23737	413415
543	23779	413341
544	23820	413251
545	23863	413200
546	23904	413109
547	23945	413022
548	23989	412983
549	24031	412900
550	24073	412825
551	24115	412757
552	24156	412675
553	24199	412616
554	24240	412522
555	24281	412441
556	24324	412375
557	24367	412320
558	24409	412249
559	24453	412215
560	24494	412126
561	24536	412062
562	24579	411995
563	24621	411923
564	24663	411860
565	24704	411775
566	24746	411698
567	24790	411664
568	24831	411576
569	24874	411519
570	24933	411735
571	24980	411733
572	25024	411703
573	25066	411636
574	25108	411558
575	25150	411487
576	25191	411401
577	25232	411313
578	25274	411242
579	25314	411136
580	25355	411057
581	25397	410993
582	25439	410922
583	25482	410868
